Date,High_MKC,Low_MKC,Open_MKC,Close_MKC,Volume_MKC
2020-12-16,93.16999816894531,91.80999755859375,91.9800033569336,92.70999908447266,982900
2020-12-17,95.33999633789062,92.93000030517578,93.13999938964844,94.5999984741211,1182800
2020-12-18,95.05000305175781,92.27999877929688,94.48999786376953,93.37000274658203,2191300
2020-12-21,94.12000274658203,91.88999938964844,92.26000213623047,93.69000244140625,1221200
2020-12-22,93.81999969482422,92.36000061035156,93.61000061035156,92.95999908447266,808700
2020-12-23,93.58999633789062,92.58000183105469,93.30000305175781,92.9800033569336,650500
2020-12-24,93.58999633789062,92.45999908447266,92.9800033569336,93.47000122070312,217600
2020-12-28,94.02999877929688,92.9000015258789,93.68000030517578,93.41999816894531,460000
2020-12-29,95.69000244140625,93.27999877929688,93.41999816894531,94.81999969482422,1205600
2020-12-30,95.48999786376953,94.23999786376953,95.41999816894531,94.55999755859375,1157800
2020-12-31,95.76000213623047,94.0,94.55999755859375,95.5999984741211,1190900
2021-01-04,95.95999908447266,93.18000030517578,95.77999877929688,93.98999786376953,987600
2021-01-05,94.48999786376953,92.33000183105469,93.80000305175781,94.2300033569336,825200
2021-01-06,95.25,93.33999633789062,93.76000213623047,93.93000030517578,1199500
2021-01-07,94.88999938964844,92.6500015258789,93.95999908447266,94.79000091552734,1090400
2021-01-08,95.4000015258789,94.05000305175781,95.0199966430664,95.20999908447266,842400
2021-01-11,95.86000061035156,93.08000183105469,95.54000091552734,93.62999725341797,765000
2021-01-12,93.94999694824219,91.95999908447266,93.68000030517578,92.44999694824219,1118600
2021-01-13,93.75,92.3499984741211,92.83999633789062,93.26000213623047,953700
2021-01-14,93.04000091552734,90.91999816894531,93.04000091552734,91.62000274658203,2018700
2021-01-15,93.95999908447266,91.4800033569336,91.86000061035156,93.43000030517578,1893300
2021-01-19,94.18000030517578,91.91999816894531,93.80999755859375,93.01000213623047,1442300
2021-01-20,93.05000305175781,91.22000122070312,92.80000305175781,91.75,1143000
2021-01-21,91.83999633789062,90.55999755859375,91.75,91.45999908447266,878400
2021-01-22,92.31999969482422,90.48999786376953,91.51000213623047,91.87000274658203,1051900
2021-01-25,94.86000061035156,91.93000030517578,92.11000061035156,94.55000305175781,1513100
2021-01-26,96.41000366210938,93.77999877929688,94.55000305175781,96.08999633789062,1613800
2021-01-27,98.80000305175781,93.95999908447266,95.87000274658203,94.06999969482422,2608500
2021-01-28,94.98999786376953,89.66000366210938,91.0,91.0199966430664,1862700
2021-01-29,91.19999694824219,88.37999725341797,90.6500015258789,89.54000091552734,2733500
2021-02-01,90.02999877929688,87.38999938964844,89.26000213623047,89.18000030517578,1402800
2021-02-02,91.16999816894531,88.58000183105469,89.23999786376953,89.4800033569336,1132800
2021-02-03,89.91000366210938,87.66000366210938,89.37000274658203,88.72000122070312,1315900
2021-02-04,89.62999725341797,88.5,88.76000213623047,88.87999725341797,835200
2021-02-05,90.98999786376953,88.5999984741211,89.25,90.29000091552734,1610200
2021-02-08,91.19999694824219,89.70999908447266,90.91000366210938,90.83000183105469,858900
2021-02-09,91.3499984741211,90.25,90.98999786376953,90.7699966430664,792600
2021-02-10,91.48999786376953,90.12000274658203,91.48999786376953,90.80000305175781,710500
2021-02-11,91.08999633789062,89.44999694824219,90.61000061035156,89.87999725341797,611400
2021-02-12,90.12999725341797,88.63999938964844,89.87999725341797,89.6500015258789,1062000
2021-02-16,90.11000061035156,86.87000274658203,89.69999694824219,86.93000030517578,2056800
2021-02-17,86.80999755859375,85.5999984741211,86.22000122070312,85.94999694824219,3036000
2021-02-18,87.58999633789062,85.06999969482422,85.87000274658203,86.48999786376953,1917000
2021-02-19,86.81999969482422,83.97000122070312,86.81999969482422,84.12000274658203,1446300
2021-02-22,84.12000274658203,82.76000213623047,84.12000274658203,83.95999908447266,1404400
2021-02-23,85.63999938964844,83.91000366210938,84.26000213623047,84.37000274658203,1376700
2021-02-24,85.3499984741211,83.54000091552734,83.6500015258789,84.80000305175781,2024800
