Date,High_MMM,Low_MMM,Open_MMM,Close_MMM,Volume_MMM
2001-05-24,60.744998931884766,59.005001068115234,60.439998626708984,59.4900016784668,5119800
2001-05-25,60.04999923706055,59.3849983215332,59.625,59.3849983215332,2095000
2001-05-29,60.3650016784668,59.0,59.5,59.875,3110800
2001-05-30,59.75,58.35499954223633,59.375,58.67499923706055,3375000
2001-05-31,59.70000076293945,58.68000030517578,58.68000030517578,59.290000915527344,3122800
2001-06-01,59.900001525878906,57.91999816894531,59.025001525878906,59.70500183105469,4273800
2001-06-04,60.525001525878906,59.26499938964844,59.525001525878906,60.0,2398000
2001-06-05,60.939998626708984,59.540000915527344,60.099998474121094,60.75,3104800
2001-06-06,61.0,60.43000030517578,60.974998474121094,60.79499816894531,3007600
2001-06-07,61.54499816894531,60.45000076293945,60.724998474121094,60.900001525878906,2293800
2001-06-08,60.75,59.92499923706055,60.75,60.05500030517578,1930800
2001-06-11,60.435001373291016,59.525001525878906,60.07500076293945,60.16999816894531,1700200
2001-06-12,61.21500015258789,59.95000076293945,60.16999816894531,61.040000915527344,4083600
2001-06-13,62.0,60.85499954223633,61.20000076293945,60.974998474121094,2817000
2001-06-14,61.20000076293945,60.064998626708984,60.970001220703125,60.380001068115234,2752800
2001-06-15,61.375,59.875,60.474998474121094,60.439998626708984,5069200
2001-06-18,61.814998626708984,60.5,60.5,61.1150016784668,3260600
2001-06-19,61.5,60.125,61.1150016784668,60.18000030517578,3400400
2001-06-20,60.18000030517578,58.505001068115234,60.18000030517578,59.29999923706055,6549400
2001-06-21,59.29499816894531,57.75,58.849998474121094,58.16999816894531,7828600
2001-06-22,58.9900016784668,58.25,58.42499923706055,58.38999938964844,2918400
2001-06-25,59.34000015258789,57.845001220703125,58.5,57.845001220703125,3780800
2001-06-26,58.33000183105469,57.32500076293945,57.5,57.5,4600200
2001-06-27,58.45000076293945,57.0,57.95000076293945,57.150001525878906,3741000
2001-06-28,58.974998474121094,57.775001525878906,57.92499923706055,57.93000030517578,2937800
2001-06-29,58.79999923706055,57.04999923706055,57.93000030517578,57.04999923706055,4077400
2001-07-02,58.70000076293945,54.625,54.625,58.630001068115234,11605600
2001-07-03,58.75,57.755001068115234,58.0099983215332,58.415000915527344,2464200
2001-07-05,58.6150016784668,57.67499923706055,58.07500076293945,58.220001220703125,2476000
2001-07-06,58.095001220703125,56.849998474121094,57.95000076293945,57.29999923706055,3345600
2001-07-09,57.494998931884766,56.375,57.0,57.42499923706055,3938200
2001-07-10,57.70000076293945,55.75,57.29999923706055,55.82500076293945,3834200
2001-07-11,56.2400016784668,55.0,55.54999923706055,55.869998931884766,3926200
2001-07-12,57.0,55.82500076293945,56.0,56.76499938964844,3116000
2001-07-13,56.75,55.70000076293945,56.5,56.1150016784668,2790400
2001-07-16,56.2400016784668,55.025001525878906,55.67499923706055,55.025001525878906,3138800
2001-07-17,56.994998931884766,55.025001525878906,55.025001525878906,56.43000030517578,4070400
2001-07-18,56.875,56.0,56.43000030517578,56.875,3767200
2001-07-19,58.0,56.564998626708984,57.369998931884766,57.32500076293945,4547400
2001-07-20,57.32500076293945,56.10499954223633,57.32500076293945,56.5,3592600
2001-07-23,57.29999923706055,55.5,57.125,55.65999984741211,2763200
2001-07-24,55.75,53.38999938964844,55.75,53.529998779296875,5238200
2001-07-25,55.25,53.64500045776367,53.654998779296875,55.18000030517578,3752200
2001-07-26,55.95000076293945,54.34000015258789,55.20000076293945,55.72999954223633,3007400
2001-07-27,56.095001220703125,55.375,55.72999954223633,55.7400016784668,2186200
2001-07-30,56.0,54.5,55.744998931884766,54.625,2091400
2001-07-31,56.34000015258789,54.91999816894531,55.07500076293945,55.939998626708984,3270200
2001-08-01,56.25,55.255001068115234,55.75,55.5,3209200
2001-08-02,56.25,55.57500076293945,55.82500076293945,55.64500045776367,2204000
2001-08-03,56.0,54.994998931884766,55.77000045776367,55.8650016784668,2241200
2001-08-06,55.775001525878906,54.599998474121094,55.54999923706055,54.685001373291016,1872200
2001-08-07,55.439998626708984,54.7599983215332,54.900001525878906,55.42499923706055,2257000
2001-08-08,55.6349983215332,53.79999923706055,55.42499923706055,54.095001220703125,2580200
2001-08-09,54.20000076293945,53.29999923706055,53.834999084472656,53.7599983215332,3115400
2001-08-10,54.9900016784668,53.65999984741211,53.875,54.92499923706055,3292200
2001-08-13,55.310001373291016,54.459999084472656,54.625,55.25,2225800
2001-08-14,55.474998474121094,54.34000015258789,55.130001068115234,54.54999923706055,2318600
2001-08-15,55.75,54.375,54.67499923706055,54.82500076293945,2851600
