Date,High_^NYA,Low_^NYA,Open_^NYA,Close_^NYA,Volume_^NYA
2022-01-14,17259.01953125,17056.669921875,17259.01953125,17219.060546875,4338490000
2022-01-18,17219.060546875,16895.330078125,17219.060546875,16950.91015625,4748700000
2022-01-19,17059.189453125,16814.810546875,16950.91015625,16818.98046875,4465740000
2022-01-20,17045.259765625,16648.779296875,16818.98046875,16663.76953125,4640870000
2022-01-21,16683.390625,16362.990234375,16663.76953125,16397.33984375,5589100000
2022-01-24,16439.390625,15816.08984375,16397.33984375,16413.970703125,6928110000
2022-01-25,16484.880859375,16000.5703125,16413.970703125,16340.3203125,5145050000
2022-01-26,16598.16015625,16113.0302734375,16340.3203125,16236.509765625,5570640000
2022-01-27,16502.26953125,16090.6904296875,16236.509765625,16152.1201171875,5214200000
2022-01-28,16400.009765625,15998.6904296875,16152.1201171875,16397.859375,5031090000
2022-01-31,16663.849609375,16344.66015625,16397.859375,16659.76953125,5098610000
2022-02-01,16840.560546875,16606.16015625,16659.76953125,16829.720703125,4816830000
2022-02-02,16926.189453125,16763.05078125,16829.720703125,16904.51953125,4481580000
2022-02-03,16904.51953125,16661.599609375,16904.51953125,16677.390625,4401970000
2022-02-04,16817.26953125,16552.369140625,16677.390625,16701.580078125,4706290000
2022-02-07,16826.7109375,16684.900390625,16701.580078125,16722.759765625,4228480000
2022-02-08,16880.330078125,16685.23046875,16722.759765625,16853.7109375,4459620000
2022-02-09,17083.359375,16853.7109375,16853.7109375,17069.66015625,4524350000
2022-02-10,17160.330078125,16790.759765625,17069.66015625,16855.9609375,5314860000
2022-02-11,16969.650390625,16600.2890625,16855.9609375,16664.990234375,5251500000
2022-02-14,16664.990234375,16422.560546875,16664.990234375,16531.310546875,4600390000
2022-02-15,16757.4296875,16531.310546875,16531.310546875,16745.830078125,4430830000
2022-02-16,16813.009765625,16658.3203125,16745.830078125,16770.359375,4283640000
2022-02-17,16770.359375,16462.150390625,16770.359375,16492.05078125,4539420000
2022-02-18,16560.119140625,16333.509765625,16492.05078125,16392.3203125,4708060000
2022-02-22,16406.470703125,16099.01953125,16392.3203125,16215.6201171875,5121900000
2022-02-23,16358.849609375,15998.330078125,16215.6201171875,16019.580078125,4797430000
2022-02-24,16020.0498046875,15571.349609375,16019.580078125,15995.990234375,6752130000
2022-02-25,16432.7890625,15995.990234375,15995.990234375,16427.9609375,5177060000
2022-02-28,16427.9609375,16136.9697265625,16427.9609375,16313.8896484375,6071370000
2022-03-01,16351.2998046875,15986.0595703125,16313.8896484375,16069.16015625,5846230000
2022-03-02,16435.0,16069.16015625,16069.16015625,16380.91015625,5337870000
2022-03-03,16434.869140625,16185.3095703125,16380.91015625,16287.490234375,5039890000
2022-03-04,16287.490234375,15954.1904296875,16287.490234375,16129.66015625,5797380000
2022-03-07,16129.66015625,15704.1904296875,16129.66015625,15708.23046875,6940470000
2022-03-08,15948.9599609375,15621.759765625,15708.23046875,15625.9296875,7243120000
2022-03-09,16054.7802734375,15625.9296875,15625.9296875,15977.5400390625,5662670000
2022-03-10,15977.5400390625,15761.9296875,15977.5400390625,15929.5595703125,4980830000
2022-03-11,16028.2001953125,15747.5595703125,15929.5595703125,15753.7001953125,4938640000
2022-03-14,15917.9296875,15635.76953125,15753.7001953125,15694.349609375,5574920000
2022-03-15,15914.9296875,15694.349609375,15694.349609375,15895.669921875,5392470000
2022-03-16,16262.5498046875,15895.669921875,15895.669921875,16261.5,6309750000
2022-03-17,16483.669921875,16212.5703125,16261.5,16483.580078125,4985090000
2022-03-18,16615.9609375,16412.5,16483.580078125,16612.640625,8278430000
2022-03-21,16694.6796875,16514.990234375,16612.640625,16606.669921875,4869820000
2022-03-22,16768.669921875,16606.669921875,16606.669921875,16735.48046875,4754840000
2022-03-23,16735.48046875,16557.580078125,16735.48046875,16558.529296875,4550670000
2022-03-24,16702.23046875,16558.529296875,16558.529296875,16701.8203125,4131390000
2022-03-25,16794.1796875,16669.7890625,16701.8203125,16792.80078125,4305020000
2022-03-28,16798.720703125,16640.140625,16792.80078125,16798.720703125,4312260000
2022-03-29,17034.91015625,16798.720703125,16798.720703125,17014.759765625,5085910000
2022-03-30,17031.650390625,16858.7109375,17014.759765625,16932.759765625,4385570000
